Age,Occupation,Sleep Duration,Quality of Sleep,Physical Activity Level,Stress Level
35,Salesperson,6.5,7,70,3
26,Lawyer,6.4,8,49,1
50,Salesperson,7.7,8,56,1
58,Doctor,6.5,7,48,1
22,Engineer,8.1,7,52,3
35,Athlete,9.5,10,98,2
31,Salesperson,6.7,7,115,2
28,Engineer,7.2,7,64,1
46,Unemployed,7.4,5,53,6
25,Student,9.0,8,15,3
26,Engineer,6.9,8,36,1
46,Teacher,6.1,5,52,4
24,Unemployed,5.6,1,37,9
39,Manager,6.9,4,40,6
40,Nurse,6.5,5,94,7
53,Teacher,9.2,10,56,4
40,Athlete,8.9,8,58,1
32,Software Engineer,5.9,7,38,5
21,Freelancer,6.2,5,84,5
46,Doctor,7.1,4,50,8
34,Athlete,8.5,7,42,4
58,Salesperson,7.1,7,15,3
57,Engineer,6.3,6,53,5
31,Unemployed,6.9,5,41,4
56,Salesperson,6.3,5,97,4
33,Scientist,7.7,10,101,1
23,Software Engineer,6.2,4,24,5
53,Software Engineer,6.4,7,27,4
26,Teacher,8.3,5,48,5
30,Student,6.2,7,35,1
25,Doctor,5.4,4,60,5
43,Doctor,7.1,7,47,4
30,Salesperson,6.6,4,62,5
22,Student,7.6,7,80,1
33,Student,7.3,5,28,7
22,Nurse,7.0,5,80,5
40,Software Engineer,6.9,7,37,4
21,Freelancer,6.2,5,109,4
57,Teacher,7.1,7,96,4
29,Unemployed,8.0,7,52,6
37,Unemployed,5.9,5,31,4
29,Athlete,7.0,7,26,6
31,Nurse,8.1,7,77,4
35,Unemployed,7.6,6,54,3
44,Athlete,8.4,7,78,6
58,Manager,6.4,7,110,4
55,Lawyer,5.0,5,36,6
50,Teacher,7.2,5,24,5
51,Doctor,7.4,7,60,2
25,Engineer,8.5,8,84,2
34,Manager,8.3,8,31,4
31,Accountant,7.6,6,56,4
29,Engineer,7.8,6,89,4
54,Accountant,6.8,5,14,7
32,Student,5.7,5,61,5
55,Retired,7.1,7,41,4
55,Nurse,8.1,8,58,3
21,Accountant,7.7,7,73,3
42,Doctor,7.9,9,61,1
49,Manager,6.5,7,30,4
28,Student,6.7,6,42,3
31,Retired,7.5,5,91,6
57,Teacher,6.4,5,63,4
34,Freelancer,6.4,5,76,4
50,Software Engineer,7.3,8,61,1
55,Manager,7.8,7,75,2
41,Software Engineer,6.8,5,45,4
57,Retired,5.7,4,36,5
25,Scientist,6.2,5,74,6
39,Student,7.2,8,83,1
34,Unemployed,7.2,8,32,1
46,Doctor,7.3,6,41,3
24,Software Engineer,7.6,7,51,4
45,Unemployed,7.0,5,95,5
45,Lawyer,7.3,9,69,1
38,Doctor,7.0,5,22,7
28,Engineer,8.3,9,53,1
59,Manager,8.6,7,49,4
34,Software Engineer,5.7,4,26,5
52,Teacher,6.7,5,52,4
58,Software Engineer,7.0,9,48,1
53,Salesperson,6.7,6,46,5
43,Retired,9.0,8,45,3
35,Freelancer,7.2,8,92,3
53,Student,6.1,5,46,6
45,Nurse,7.7,7,56,1
37,Retired,7.3,7,54,6
53,Engineer,7.3,6,42,5
22,Doctor,9.0,10,57,1
34,Retired,7.4,6,57,3
59,Athlete,6.7,4,57,8
26,Student,4.8,4,34,4
26,Student,6.8,6,50,5
23,Nurse,8.4,6,74,1
27,Nurse,6.9,5,51,6
28,Student,4.5,3,59,5
35,Nurse,6.5,7,59,3
49,Salesperson,8.1,7,65,5
53,Athlete,7.6,9,69,2
50,Athlete,6.1,5,51,7
59,Salesperson,6.4,6,32,6
47,Athlete,6.5,5,25,4
56,Unemployed,6.3,7,80,4
49,Student,4.8,3,74,4
58,Teacher,7.8,8,71,1
53,Teacher,8.4,8,75,4
57,Lawyer,5.3,4,51,5
47,Doctor,8.4,7,39,1
53,Teacher,6.9,8,30,5
24,Nurse,8.3,8,28,3
42,Engineer,7.0,5,85,6
22,Retired,7.1,5,43,4
30,Doctor,7.4,7,81,3
25,Student,6.1,6,50,4
30,Student,8.3,8,38,1
53,Doctor,5.8,3,28,7
58,Retired,6.6,5,40,3
33,Manager,7.6,8,90,1
51,Accountant,6.4,6,28,5
56,Athlete,7.9,8,108,1
44,Teacher,8.5,6,34,7
35,Student,8.1,6,74,2
49,Software Engineer,4.9,6,51,4
28,Unemployed,7.1,8,47,1
25,Salesperson,8.1,6,23,4
49,Student,5.6,4,53,8
24,Nurse,7.8,7,26,2
32,Student,7.7,6,13,3
22,Athlete,5.7,4,58,7
47,Engineer,7.9,6,39,4
51,Manager,7.3,6,97,4
56,Engineer,7.7,6,80,3
56,Retired,5.9,4,97,6
46,Engineer,7.2,7,38,5
47,Unemployed,5.1,5,58,3
25,Athlete,4.5,5,0,4
40,Salesperson,7.2,5,48,2
31,Teacher,8.2,7,57,4
30,Salesperson,7.3,9,59,3
58,Unemployed,6.9,6,54,4
26,Teacher,6.8,7,57,1
28,Engineer,6.0,6,0,3
43,Athlete,6.8,7,61,3
46,Accountant,7.5,7,67,3
32,Student,6.5,7,88,4
46,Teacher,7.8,8,64,1
33,Doctor,7.2,7,52,4
38,Athlete,7.3,5,83,5
45,Doctor,8.0,5,0,4
53,Teacher,6.4,4,42,6
32,Unemployed,7.7,7,36,4
56,Accountant,6.6,7,54,4
24,Freelancer,7.4,5,0,5
25,Freelancer,6.3,7,88,1
57,Teacher,6.0,5,49,6
28,Software Engineer,7.1,6,63,3
48,Student,4.9,3,61,7
51,Salesperson,6.7,4,87,6
29,Doctor,5.2,5,8,5
49,Student,7.9,9,58,1
34,Software Engineer,8.2,7,84,4
42,Unemployed,6.0,3,53,2
31,Doctor,7.5,8,31,4
43,Doctor,8.0,5,40,4
21,Nurse,8.0,6,45,5
57,Freelancer,7.2,6,37,5
41,Student,7.8,7,51,5
46,Athlete,6.3,4,93,6
56,Salesperson,7.1,6,40,3
43,Lawyer,6.5,7,43,1
21,Teacher,6.2,7,66,2
35,Engineer,7.0,8,51,1
41,Scientist,7.4,9,22,1
29,Student,8.3,8,53,2
29,Teacher,7.3,6,53,3
30,Freelancer,7.7,8,79,2
46,Nurse,7.7,7,31,3
55,Freelancer,9.5,9,80,1
45,Software Engineer,5.0,5,53,1
46,Engineer,6.2,4,27,4
31,Lawyer,8.6,7,22,4
58,Salesperson,6.6,6,103,5
22,Manager,8.0,7,51,1
27,Salesperson,7.3,6,78,3
38,Salesperson,9.3,9,12,3
47,Student,5.8,8,120,1
54,Student,8.3,5,77,5
47,Unemployed,8.9,9,49,3
37,Teacher,5.9,5,47,4
44,Manager,7.9,8,73,1
45,Manager,5.9,5,72,5
27,Accountant,7.0,6,60,7
26,Engineer,6.7,6,55,5
44,Lawyer,4.4,4,69,6
53,Doctor,7.5,5,11,4
49,Nurse,7.2,6,46,5
42,Doctor,8.6,6,14,5
46,Student,7.7,8,70,1
48,Student,9.5,6,38,5
41,Freelancer,7.1,8,16,2
27,Student,6.9,7,35,3
37,Software Engineer,6.8,7,59,2
40,Unemployed,6.5,3,50,6
40,Unemployed,4.6,4,26,4
42,Salesperson,6.8,8,12,1
48,Manager,4.7,4,57,7
27,Freelancer,7.5,5,40,4
21,Scientist,5.6,4,49,4
52,Retired,6.0,5,51,8
33,Software Engineer,6.3,5,66,3
50,Nurse,6.8,8,76,4
43,Salesperson,7.0,6,59,2
39,Manager,8.2,7,47,4
52,Athlete,6.4,4,56,6
50,Freelancer,7.5,7,47,2
49,Accountant,9.5,9,14,1
49,Software Engineer,7.4,6,82,4
50,Athlete,6.8,3,78,6
36,Manager,6.1,6,105,3
39,Nurse,6.8,6,112,2
38,Engineer,6.0,6,26,4
21,Student,7.3,9,47,1
34,Athlete,7.1,6,118,4
22,Engineer,4.6,4,54,7
48,Lawyer,7.0,5,61,5
50,Freelancer,8.2,7,17,2
58,Student,6.6,6,59,5
24,Salesperson,6.3,6,103,3
21,Teacher,5.5,7,87,1
28,Student,5.0,5,40,5
49,Teacher,7.9,7,45,4
59,Nurse,6.8,5,27,4
23,Scientist,7.8,7,34,4
52,Teacher,8.7,7,7,2
30,Student,8.0,7,53,2
30,Doctor,6.4,6,93,2
39,Student,7.2,6,64,5
54,Teacher,6.3,5,89,5
53,Software Engineer,6.2,3,82,6
43,Doctor,7.4,8,41,1
48,Retired,6.1,6,36,1
52,Unemployed,4.6,5,37,6
27,Teacher,6.0,4,12,6
49,Athlete,6.7,8,56,1
28,Manager,8.7,7,0,1
21,Freelancer,6.5,6,70,3
23,Accountant,7.6,6,57,2
44,Student,6.8,4,67,7
43,Software Engineer,8.3,9,81,2
28,Salesperson,8.3,9,60,2
57,Freelancer,8.3,7,96,1
23,Scientist,5.1,4,71,5
53,Teacher,7.2,6,36,3
48,Doctor,7.8,7,49,2
28,Student,7.4,5,0,4
54,Student,7.7,7,32,1
55,Accountant,7.1,7,45,3
52,Freelancer,6.2,7,69,4
44,Software Engineer,5.1,5,36,6
34,Lawyer,6.3,4,24,6
52,Retired,9.5,9,8,4
36,Lawyer,6.5,6,40,6
24,Teacher,4.8,6,104,4
57,Scientist,7.8,9,62,1
41,Unemployed,7.9,9,78,3
34,Doctor,8.4,7,32,5
51,Freelancer,7.5,9,16,1
38,Athlete,7.9,8,24,4
27,Nurse,9.0,10,53,1
30,Student,6.2,5,5,4
27,Accountant,6.0,5,30,2
53,Salesperson,5.8,6,40,4
43,Athlete,6.7,6,22,4
41,Freelancer,8.6,9,2,3
39,Doctor,7.6,7,62,4
39,Salesperson,7.5,8,56,1
56,Engineer,5.0,5,74,6
49,Accountant,6.2,5,27,6
38,Accountant,5.0,5,74,5
22,Software Engineer,8.3,7,93,2
21,Student,8.7,10,62,1
25,Salesperson,7.9,4,40,7
40,Nurse,5.9,6,59,5
31,Athlete,8.6,6,39,4
22,Athlete,6.7,6,34,1
23,Engineer,5.7,5,72,3
43,Lawyer,5.9,7,52,4
32,Student,6.5,5,85,2
40,Teacher,7.1,8,44,4
25,Teacher,6.8,5,46,7
57,Student,5.4,6,41,4
58,Software Engineer,8.3,7,27,4
50,Doctor,6.8,6,75,5
29,Software Engineer,6.2,5,110,5
54,Doctor,8.2,9,45,1
55,Software Engineer,5.7,6,38,5
42,Freelancer,5.2,5,36,7
44,Teacher,8.4,6,38,2
37,Doctor,9.1,7,96,1
30,Teacher,6.5,5,37,5
50,Retired,6.9,4,40,5
43,Engineer,5.7,7,24,3
52,Accountant,7.0,6,62,6
37,Unemployed,6.5,5,53,2
37,Salesperson,6.9,8,27,4
34,Lawyer,7.5,6,33,3
29,Nurse,5.8,4,93,7
22,Accountant,6.6,6,56,5
45,Lawyer,5.0,3,58,8
59,Student,6.6,6,58,4
29,Teacher,6.9,6,90,4
42,Manager,7.3,6,29,4
24,Software Engineer,7.3,6,45,3
46,Nurse,8.0,7,51,1
49,Salesperson,5.3,5,12,3
54,Retired,5.4,4,32,6
43,Accountant,7.6,6,81,3
57,Student,4.8,4,74,5
31,Teacher,7.2,6,78,7
26,Doctor,5.7,5,40,6
38,Software Engineer,8.7,7,43,3
41,Lawyer,7.3,8,10,3
56,Doctor,6.8,6,78,3
58,Nurse,8.4,7,82,3
54,Athlete,5.8,6,82,5
37,Software Engineer,6.0,5,95,4
57,Scientist,5.6,3,66,6
45,Accountant,6.0,6,94,6
58,Engineer,7.1,5,50,6
32,Scientist,7.5,8,11,1
43,Lawyer,8.1,7,77,2
42,Lawyer,5.0,5,10,4
41,Student,6.8,5,59,4
47,Unemployed,5.8,5,79,6
51,Nurse,6.8,8,63,2
26,Doctor,9.5,8,112,1
47,Retired,7.3,6,6,3
54,Accountant,8.0,8,53,3
32,Scientist,9.2,9,55,1
27,Accountant,8.2,7,21,2
30,Doctor,6.5,3,26,7
37,Manager,5.6,4,34,8
46,Engineer,7.0,7,28,4
41,Nurse,6.4,5,52,7
48,Salesperson,5.3,5,40,4
22,Athlete,7.3,6,63,4
21,Manager,7.3,4,71,6
56,Doctor,8.9,7,70,3
46,Scientist,6.6,7,45,4
49,Student,7.3,4,62,5
41,Athlete,6.3,6,81,5
31,Student,8.0,6,66,2
31,Doctor,6.9,7,101,1
56,Student,5.7,6,80,7
59,Student,7.0,6,98,3
55,Software Engineer,7.4,6,0,5
54,Salesperson,7.3,6,57,7
44,Lawyer,8.2,6,47,1
42,Student,5.4,7,52,5
25,Nurse,6.1,4,35,7
53,Manager,7.7,9,65,3
56,Retired,6.2,5,10,3
40,Athlete,7.3,7,65,5
39,Retired,4.3,3,36,6
55,Freelancer,9.5,9,42,3
37,Software Engineer,6.7,6,66,4
54,Manager,8.3,7,57,4
29,Salesperson,6.6,7,81,3
46,Unemployed,7.5,6,31,1
22,Teacher,8.6,6,53,1
29,Freelancer,8.3,8,77,2
29,Manager,6.8,5,64,5
37,Athlete,6.9,7,66,4
21,Software Engineer,8.1,8,83,2
45,Nurse,9.5,8,45,5
45,Athlete,7.2,8,40,2
59,Software Engineer,9.2,9,69,1
55,Athlete,6.7,5,51,6
23,Software Engineer,8.0,9,83,1
57,Student,8.2,6,64,4
50,Accountant,6.5,5,39,3
58,Manager,6.2,5,63,5
54,Student,8.3,8,32,1
32,Lawyer,6.4,7,79,1
39,Doctor,6.0,7,20,6
57,Software Engineer,6.2,6,86,2
